	reference	query	distance	pvalue	matching-hashes	percentage
2116	NOLK01_Nostoc	./CENA71.fasta	0.21089699999999997	9.1466e-22	6/1000	0.6
3096	WBKL01_Nostoc	./CENA71.fasta	0.21089699999999997	5.12678e-22	6/1000	0.6
1347	JACJSH01_Nostoc	./CENA71.fasta	0.21089699999999997	8.361060000000001e-22	6/1000	0.6
1539	JADEXV01_Nostocales	./CENA71.fasta	0.21089699999999997	7.16113e-22	6/1000	0.6
1978	LXQE01_Nostoc	./CENA71.fasta	0.21089699999999997	9.269e-22	6/1000	0.6
1206	JABXKH01_Nostoc	./CENA71.fasta	0.219531	3.7612699999999994e-18	5/1000	0.5
1538	JADEXU01_Nostoc	./CENA71.fasta	0.219531	5.40966e-18	5/1000	0.5
1536	JADEXS01_Desmonostoc	./CENA71.fasta	0.219531	5.72367e-18	5/1000	0.5
1535	JADEXR01_Aff.	./CENA71.fasta	0.219531	2.62712e-18	5/1000	0.5
3006	SZNH01_Nostoc	./CENA71.fasta	0.219531	3.05345e-18	5/1000	0.5
998	JAAGOG01_Nostoc	./CENA71.fasta	0.219531	5.521839999999999e-18	5/1000	0.5
1368	JACJTC01_Nostoc	./CENA71.fasta	0.219531	5.60514e-18	5/1000	0.5
1523	JADEXF01_Nostoc	./CENA71.fasta	0.219531	1.2046600000000001e-18	5/1000	0.5
63	ALVT01_Fischerella	./CENA71.fasta	0.219531	4.4042499999999995e-18	5/1000	0.5
1300	JACJQM01_Nostoc	./CENA71.fasta	0.219531	5.65342e-18	5/1000	0.5
3055	VJOX01_Nostoc	./CENA71.fasta	0.219531	5.89168e-18	5/1000	0.5
1745	JAHHHR01_MAG:	./CENA71.fasta	0.219531	5.2522300000000004e-18	5/1000	0.5
1208	JABXKJ01_Nostoc	./CENA71.fasta	0.219531	4.68269e-18	5/1000	0.5
1205	JABXKG01_Nostoc	./CENA71.fasta	0.219531	4.15063e-18	5/1000	0.5
1209	JABXKK01_Nostoc	./CENA71.fasta	0.219531	4.21103e-18	5/1000	0.5
1529	JADEXL01_Tolypothrix	./CENA71.fasta	0.23010999999999998	3.6482099999999994e-14	4/1000	0.4
1335	JACJRV01_Nostoc	./CENA71.fasta	0.23010999999999998	2.83335e-14	4/1000	0.4
2114	NOLI01_Nostoc	./CENA71.fasta	0.23010999999999998	2.65902e-14	4/1000	0.4
122	BDUD01_Nostoc	./CENA71.fasta	0.23010999999999998	2.57918e-14	4/1000	0.4
1859	JHEG04_Tolypothrix	./CENA71.fasta	0.23010999999999998	3.66093e-14	4/1000	0.4
3101	WJFC01_Scytonema	./CENA71.fasta	0.23010999999999998	6.249580000000001e-14	4/1000	0.4
2007	MRBZ01_Nostoc	./CENA71.fasta	0.23010999999999998	3.09801e-14	4/1000	0.4
1439	JACXXN01_Nostoc	./CENA71.fasta	0.23010999999999998	2.7070299999999998e-14	4/1000	0.4
1343	JACJSD01_Nostoc	./CENA71.fasta	0.23010999999999998	2.2504400000000002e-14	4/1000	0.4
1336	JACJRW01_Nostoc	./CENA71.fasta	0.23010999999999998	3.14399e-14	4/1000	0.4
79	ANNX02_Scytonema	./CENA71.fasta	0.23010999999999998	5.1462099999999997e-14	4/1000	0.4
2137	NSHF01_Nostoc	./CENA71.fasta	0.23010999999999998	2.77411e-14	4/1000	0.4
2017	MTAW01_Nostoc	./CENA71.fasta	0.23010999999999998	2.86022e-14	4/1000	0.4
2018	MTAX01_Nostoc	./CENA71.fasta	0.23010999999999998	3.1951e-14	4/1000	0.4
1561	JAECZA01_Dendronalium	./CENA71.fasta	0.23010999999999998	2.6895400000000002e-14	4/1000	0.4
1953	LUHJ01_Anabaena	./CENA71.fasta	0.23010999999999998	1.1617000000000001e-14	4/1000	0.4
1369	JACJTD01_Nostoc	./CENA71.fasta	0.23010999999999998	2.98739e-14	4/1000	0.4
1528	JADEXK01_Nostocales	./CENA71.fasta	0.23010999999999998	1.60969e-14	4/1000	0.4
1294	JACJQG01_Calothrix	./CENA71.fasta	0.23010999999999998	3.2180900000000004e-14	4/1000	0.4
1330	JACJRQ01_Nostoc	./CENA71.fasta	0.23010999999999998	3.08705e-14	4/1000	0.4
1295	JACJQH01_Calothrix	./CENA71.fasta	0.23010999999999998	3.21769e-14	4/1000	0.4
1724	JAGKSW01_MAG:	./CENA71.fasta	0.23010999999999998	2.25676e-14	4/1000	0.4
1383	JACJTR01_Nostoc	./CENA71.fasta	0.23010999999999998	3.08856e-14	4/1000	0.4
2808	QMEC01_Brasilonema	./CENA71.fasta	0.23010999999999998	2.4911599999999997e-14	4/1000	0.4
24	AGCR01_Tolypothrix	./CENA71.fasta	0.23010999999999998	3.67037e-14	4/1000	0.4
1370	JACJTE01_Nostoc	./CENA71.fasta	0.23010999999999998	2.95182e-14	4/1000	0.4
1975	LWSY01_Nostoc	./CENA71.fasta	0.23010999999999998	2.7834500000000004e-14	4/1000	0.4
3056	VJXY01_Komarekiella	./CENA71.fasta	0.23010999999999998	2.75966e-14	4/1000	0.4
1217	JACAEU01_Fischerella	./CENA71.fasta	0.23010999999999998	1.3536700000000002e-14	4/1000	0.4
1298	JACJQK01_Calothrix	./CENA71.fasta	0.243761	1.4456799999999998e-10	3/1000	0.3
2913	RSCJ01_Chlorogloeopsis	./CENA71.fasta	0.243761	6.94276e-11	3/1000	0.3
1293	JACJQF01_Calothrix	./CENA71.fasta	0.243761	1.41184e-10	3/1000	0.3
1952	LUHI01_Anabaena	./CENA71.fasta	0.243761	6.31403e-11	3/1000	0.3
1099	JAAUOR01_Scytonema	./CENA71.fasta	0.243761	8.34048e-11	3/1000	0.3
1945	LSSA01_Nostoc	./CENA71.fasta	0.243761	1.36317e-10	3/1000	0.3
1297	JACJQJ01_Nostoc	./CENA71.fasta	0.243761	1.40392e-10	3/1000	0.3
2013	MRCF01_Scytonema	./CENA71.fasta	0.243761	1.4388399999999998e-10	3/1000	0.3
1319	JACJRF01_Anabaena	./CENA71.fasta	0.243761	6.80919e-11	3/1000	0.3
2115	NOLJ01_Nostoc	./CENA71.fasta	0.243761	1.19051e-10	3/1000	0.3
1322	JACJRI01_Trichormus	./CENA71.fasta	0.243761	9.18686e-11	3/1000	0.3
1393	JACKZL01_Trichormus	./CENA71.fasta	0.243761	9.05205e-11	3/1000	0.3
1394	JACKZM01_Trichormus	./CENA71.fasta	0.243761	9.15908e-11	3/1000	0.3
1396	JACKZO01_Trichormus	./CENA71.fasta	0.243761	9.22329e-11	3/1000	0.3
1397	JACKZP01_Trichormus	./CENA71.fasta	0.243761	9.24848e-11	3/1000	0.3
1398	JACKZQ01_Trichormus	./CENA71.fasta	0.243761	9.03777e-11	3/1000	0.3
1401	JACKZT01_Trichormus	./CENA71.fasta	0.243761	9.368899999999999e-11	3/1000	0.3
1214	JABXKP01_Nostoc	./CENA71.fasta	0.243761	9.42554e-11	3/1000	0.3
1898	JXCA02_Scytonema	./CENA71.fasta	0.243761	1.1025799999999999e-10	3/1000	0.3
1318	JACJRE01_Tolypothrix	./CENA71.fasta	0.243761	1.228e-10	3/1000	0.3
2016	MTAV01_Nostoc	./CENA71.fasta	0.243761	1.17549e-10	3/1000	0.3
1556	JADQBA01_Stigonema	./CENA71.fasta	0.243761	1.59345e-10	3/1000	0.3
1741	JAHHGV01_MAG:	./CENA71.fasta	0.243761	1.22769e-10	3/1000	0.3
1345	JACJSF01_Nostoc	./CENA71.fasta	0.243761	1.4131200000000002e-10	3/1000	0.3
1455	JACYMD01_Rivularia	./CENA71.fasta	0.263022	2.86584e-07	2/1000	0.2
1385	JACJTT01_Richelia	./CENA71.fasta	0.263022	2.75112e-07	2/1000	0.2
73	ALWD01_Scytonema	./CENA71.fasta	0.263022	3.90402e-07	2/1000	0.2
1499	JADEWH01_Nodularia	./CENA71.fasta	0.263022	2.63308e-07	2/1000	0.2
1443	JACYLQ01_Calothrix	./CENA71.fasta	0.263022	3.13279e-07	2/1000	0.2
1132	JAAURN01_Hydrococcus	./CENA71.fasta	0.263022	2.95303e-07	2/1000	0.2
1446	JACYLT01_Chlorogloeopsis	./CENA71.fasta	0.263022	3.39452e-07	2/1000	0.2
2807	QMEB01_Brasilonema	./CENA71.fasta	0.263022	2.99112e-07	2/1000	0.2
722	CAIYEC01_uncultured	./CENA71.fasta	0.263022	2.42621e-07	2/1000	0.2
1367	JACJTB01_Nostoc	./CENA71.fasta	0.263022	3.4486999999999994e-07	2/1000	0.2
1139	JAAUSC01_Scytonema	./CENA71.fasta	0.263022	3.53032e-07	2/1000	0.2
1074	JAAKGC01_Aetokthonos	./CENA71.fasta	0.263022	4.3059399999999994e-07	2/1000	0.2
1344	JACJSE01_Aulosira	./CENA71.fasta	0.263022	4.0045e-07	2/1000	0.2
3098	WBKN01_Nostoc	./CENA71.fasta	0.263022	4.1821899999999997e-07	2/1000	0.2
3097	WBKM01_Nostoc	./CENA71.fasta	0.263022	4.10543e-07	2/1000	0.2
1366	JACJTA01_Scytonema	./CENA71.fasta	0.263022	3.8162799999999995e-07	2/1000	0.2
1348	JACJSI01_Nostoc	./CENA71.fasta	0.263022	5.04581e-07	2/1000	0.2
1296	JACJQI01_Aulosira	./CENA71.fasta	0.263022	4.4046300000000004e-07	2/1000	0.2
1329	JACJRP01_Anabaena	./CENA71.fasta	0.263022	3.31398e-07	2/1000	0.2
33	AJLN01_Chlorogloeopsis	./CENA71.fasta	0.263022	3.73287e-07	2/1000	0.2
32	AJLM01_Chlorogloeopsis	./CENA71.fasta	0.263022	3.6845700000000003e-07	2/1000	0.2
1075	JAALHA01_Aetokthonos	./CENA71.fasta	0.263022	3.9697299999999996e-07	2/1000	0.2
1285	JACJPX01_Calothrix	./CENA71.fasta	0.263022	4.2155900000000005e-07	2/1000	0.2
1207	JABXKI01_Nostoc	./CENA71.fasta	0.263022	3.65318e-07	2/1000	0.2
1743	JAHHHE01_MAG:	./CENA71.fasta	0.263022	2.39776e-07	2/1000	0.2
1104	JAAUPD01_Hydrococcus	./CENA71.fasta	0.263022	1.34189e-07	2/1000	0.2
1744	JAHHHF01_MAG:	./CENA71.fasta	0.263022	3.22395e-07	2/1000	0.2
121	BDUC01_Tolypothrix	./CENA71.fasta	0.263022	3.96627e-07	2/1000	0.2
1105	JAAUPE01_Calothrix	./CENA71.fasta	0.263022	3.5829599999999997e-07	2/1000	0.2
1211	JABXKM01_Nostoc	./CENA71.fasta	0.263022	3.67146e-07	2/1000	0.2
1215	JABXKQ01_Nostoc	./CENA71.fasta	0.263022	3.7644500000000003e-07	2/1000	0.2
1740	JAHHGQ01_MAG:	./CENA71.fasta	0.263022	4.52978e-07	2/1000	0.2
1899	JXCB02_Tolypothrix	./CENA71.fasta	0.263022	4.49713e-07	2/1000	0.2
1216	JABXYX01_Brasilonema	./CENA71.fasta	0.263022	4.2060299999999997e-07	2/1000	0.2
1310	JACJQW01_Nostoc	./CENA71.fasta	0.263022	4.0610399999999997e-07	2/1000	0.2
2983	SKYQ01_Nodularia	./CENA71.fasta	0.263022	1.1038e-07	2/1000	0.2
1759	JAIVFU01_Nostoc	./CENA71.fasta	0.263022	4.4291699999999997e-07	2/1000	0.2
1317	JACJRD01_Calothrix	./CENA71.fasta	0.263022	4.51797e-07	2/1000	0.2
711	CAIWLC01_uncultured	./CENA71.fasta	0.295981	0.000736251	1/1000	0.1
1334	JACJRU01_Nostoc	./CENA71.fasta	0.295981	0.0008769769999999999	1/1000	0.1
683	CAISZL01_uncultured	./CENA71.fasta	0.295981	0.000588987	1/1000	0.1
1000	JAAHFN01_Oscillatoria	./CENA71.fasta	0.295981	0.000931214	1/1000	0.1
2859	REBL01_Nodularia	./CENA71.fasta	0.295981	0.0007241719999999999	1/1000	0.1
2140	NTFS01_Calothrix	./CENA71.fasta	0.295981	0.0008215	1/1000	0.1
1022	JAAHGJ01_MAG:	./CENA71.fasta	0.295981	0.000921375	1/1000	0.1
1428	JACVSG01_Tolypothrix	./CENA71.fasta	0.295981	0.00073467	1/1000	0.1
1341	JACJSB01_Dolichospermum	./CENA71.fasta	0.295981	0.000639634	1/1000	0.1
1337	JACJRX01_Nostoc	./CENA71.fasta	0.295981	0.0009036410000000001	1/1000	0.1
1346	JACJSG01_Anabaena	./CENA71.fasta	0.295981	0.000880252	1/1000	0.1
2503	QCHU01_Prochlorococcus	./CENA71.fasta	0.295981	0.000248818	1/1000	0.1
1034	JAAHGV01_Microcoleus	./CENA71.fasta	0.295981	0.000984664	1/1000	0.1
631	CAINGU01_uncultured	./CENA71.fasta	0.295981	0.000712704	1/1000	0.1
1307	JACJQT01_Aphanizomenon	./CENA71.fasta	0.295981	0.000740964	1/1000	0.1
701	CAIVSM01_uncultured	./CENA71.fasta	0.295981	0.000589451	1/1000	0.1
655	CAIPYS01_uncultured	./CENA71.fasta	0.295981	0.0005888730000000001	1/1000	0.1
663	CAIQSI01_uncultured	./CENA71.fasta	0.295981	0.0005843980000000001	1/1000	0.1
2443	QCEX01_Prochlorococcus	./CENA71.fasta	0.295981	0.000204931	1/1000	0.1
705	CAIWDD01_uncultured	./CENA71.fasta	0.295981	0.0005893630000000001	1/1000	0.1
1323	JACJRJ01_Cylindrospermum	./CENA71.fasta	0.295981	0.000763279	1/1000	0.1
626	CAIMSC01_uncultured	./CENA71.fasta	0.295981	0.0007152889999999999	1/1000	0.1
2806	QMEA01_Brasilonema	./CENA71.fasta	0.295981	0.000893835	1/1000	0.1
1436	JACVZZ01_Aphanizomenon	./CENA71.fasta	0.295981	0.00063306	1/1000	0.1
1320	JACJRG01_Anabaena	./CENA71.fasta	0.295981	0.0008250369999999999	1/1000	0.1
336	CACGHD01_uncultured	./CENA71.fasta	0.295981	0.000257435	1/1000	0.1
708	CAIWHD01_uncultured	./CENA71.fasta	0.295981	0.000572	1/1000	0.1
1891	JRFE01_Myxosarcina	./CENA71.fasta	0.295981	0.0008253160000000001	1/1000	0.1
696	CAIVJC01_uncultured	./CENA71.fasta	0.295981	0.000590742	1/1000	0.1
1017	JAAHGE01_Desertifilum	./CENA71.fasta	0.295981	0.00074052	1/1000	0.1
1382	JACJTQ01_Anabaena	./CENA71.fasta	0.295981	0.0007721869999999999	1/1000	0.1
1936	LJOW01_Aphanizomenon	./CENA71.fasta	0.295981	0.000752313	1/1000	0.1
1473	JADBVA01_MAG:	./CENA71.fasta	0.295981	0.000704002	1/1000	0.1
1698	JAFLQW01_Phormidium	./CENA71.fasta	0.295981	0.00075371	1/1000	0.1
3047	VILA01_Dolichospermum	./CENA71.fasta	0.295981	0.000695255	1/1000	0.1
82	APIZ01_Dolichospermum	./CENA71.fasta	0.295981	0.000628115	1/1000	0.1
3045	VIKY01_Dolichospermum	./CENA71.fasta	0.295981	0.000691045	1/1000	0.1
3042	VIKV01_Dolichospermum	./CENA71.fasta	0.295981	0.000690773	1/1000	0.1
94	AVFS01_Planktothrix	./CENA71.fasta	0.295981	0.0007116630000000001	1/1000	0.1
796	CDHJ01_Aphanizomenon	./CENA71.fasta	0.295981	0.0008485410000000001	1/1000	0.1
795	CBZS01_Richelia	./CENA71.fasta	0.295981	0.000718953	1/1000	0.1
1972	LWAJ01_Nodularia	./CENA71.fasta	0.295981	0.000695878	1/1000	0.1
480	CACLGU01_uncultured	./CENA71.fasta	0.295981	0.000243675	1/1000	0.1
103	AXAQ01_Mastigocoleus	./CENA71.fasta	0.295981	0.0011537000000000001	1/1000	0.1
931	JAAANX01_Cyanobacteria	./CENA71.fasta	0.295981	0.000665958	1/1000	0.1
1283	JACJPV01_Anabaena	./CENA71.fasta	0.295981	0.0006511	1/1000	0.1
112	BBJB01_Pseudanabaena	./CENA71.fasta	0.295981	0.000701786	1/1000	0.1
1228	JACGCS01_MAG:	./CENA71.fasta	0.295981	0.000679424	1/1000	0.1
115	BDGE01_Nostoc	./CENA71.fasta	0.295981	0.000807205	1/1000	0.1
938	JAABSJ01_Oscillatoria	./CENA71.fasta	0.295981	0.00075424	1/1000	0.1
120	BDUB01_Nodularia	./CENA71.fasta	0.295981	0.00074001	1/1000	0.1
1232	JACJNW01_Cyanobacteria	./CENA71.fasta	0.295981	0.0007204389999999999	1/1000	0.1
77	ANKO01_Oscillatoria	./CENA71.fasta	0.295981	0.000906812	1/1000	0.1
1235	JACJNZ01_Cyanobacteria	./CENA71.fasta	0.295981	0.000796035	1/1000	0.1
3049	VILC01_Aphanizomenon	./CENA71.fasta	0.295981	0.000725796	1/1000	0.1
3051	VILE01_Dolichospermum	./CENA71.fasta	0.295981	0.000672462	1/1000	0.1
1157	JAAUUF01_Richelia	./CENA71.fasta	0.295981	0.00076604	1/1000	0.1
855	DLUV01_Aphanizomenon	./CENA71.fasta	0.295981	0.000936943	1/1000	0.1
1639	JAEMTI01_Burkholderiaceae	./CENA71.fasta	0.295981	0.000512744	1/1000	0.1
7	AAVW01_Nodularia	./CENA71.fasta	0.295981	0.000705788	1/1000	0.1
3100	WGNO01_Nostoc	./CENA71.fasta	0.295981	0.0006105230000000001	1/1000	0.1
869	DNME01_uncultured	./CENA71.fasta	0.295981	0.000876905	1/1000	0.1
2005	MQTZ01_Leptolyngbya	./CENA71.fasta	0.295981	0.00075189	1/1000	0.1
550	CACNWD01_uncultured	./CENA71.fasta	0.295981	0.000211428	1/1000	0.1
1177	JAAVVT01_Dolichospermum	./CENA71.fasta	0.295981	0.0006818089999999999	1/1000	0.1
1179	JAAVVX01_Dolichospermum	./CENA71.fasta	0.295981	0.0006993289999999999	1/1000	0.1
1186	JAAXUI01_Nostocales	./CENA71.fasta	0.295981	0.000600963	1/1000	0.1
2264	QBMS01_Snowella	./CENA71.fasta	0.295981	0.000647682	1/1000	0.1
1985	MBRD01_Nostoc	./CENA71.fasta	0.295981	0.0008169589999999999	1/1000	0.1
2258	QBMK01_MAG:	./CENA71.fasta	0.295981	0.000643198	1/1000	0.1
1200	JABSSE01_Richelia	./CENA71.fasta	0.295981	0.00064861	1/1000	0.1
905	DSPW01_uncultured	./CENA71.fasta	0.295981	0.000832673	1/1000	0.1
66	ALVW01_Mastigocladopsis	./CENA71.fasta	0.295981	0.0007874210000000001	1/1000	0.1
70	ALWA01_Cyanobacterium	./CENA71.fasta	0.295981	0.000667452	1/1000	0.1
910	DVDT01_uncultured	./CENA71.fasta	0.295981	0.000822212	1/1000	0.1
74	ANFJ01_Fortiea	./CENA71.fasta	0.295981	0.000737731	1/1000	0.1
1237	JACJOB01_Cyanobacteria	./CENA71.fasta	0.295981	0.000791998	1/1000	0.1
1338	JACJRY01_Anabaena	./CENA71.fasta	0.295981	0.000903925	1/1000	0.1
1274	JACJPM01_Leptolyngbya	./CENA71.fasta	0.295981	0.0007253810000000001	1/1000	0.1
1950	LUFH02_Sphaerospermopsis	./CENA71.fasta	0.295981	0.000762773	1/1000	0.1
594	CAIJ01_Microcystis	./CENA71.fasta	0.295981	0.000689469	1/1000	0.1
595	CAIJEA01_uncultured	./CENA71.fasta	0.295981	0.000661404	1/1000	0.1
1250	JACJOO01_Leptolyngbya	./CENA71.fasta	0.295981	0.0008166960000000001	1/1000	0.1
2926	SFAE01_Microcystis	./CENA71.fasta	0.295981	0.00064889	1/1000	0.1
1941	LMTZ01_Mastigocoleus	./CENA71.fasta	0.295981	0.00106852	1/1000	0.1
1935	LJOV01_Anabaena	./CENA71.fasta	0.295981	0.000677333	1/1000	0.1
1500	JADEWI01_Nostoc	./CENA71.fasta	0.295981	0.000841093	1/1000	0.1
